"Title","RSI:Predominantly Food stores (vol nsa):All Business Index"
"CDID","EAGW"
"Source dataset ID","DRSI"
"PreUnit",""
"Unit",""
"Release date","24-07-2026"
"Next release","21 August 2026"
"Important notes",
"1988","64.0"
"1989","65.2"
"1990","65.7"
"1991","66.4"
"1992","67.7"
"1993","68.9"
"1994","71.0"
"1995","72.4"
"1996","73.8"
"1997","76.5"
"1998","78.5"
"1999","79.8"
"2000","81.6"
"2001","89.6"
"2002","93.3"
"2003","95.7"
"2004","98.5"
"2005","99.8"
"2006","100.9"
"2007","101.5"
"2008","100.1"
"2009","101.3"
"2010","99.1"
"2011","97.4"
"2012","96.9"
"2013","96.4"
"2014","96.9"
"2015","99.1"
"2016","102.7"
"2017","102.3"
"2018","103.3"
"2019","104.6"
"2020","109.3"
"2021","109.9"
"2022","103.3"
"2023","100.0"
"2024","98.5"
"2025","98.8"
"1988 Q1","61.4"
"1988 Q2","62.8"
"1988 Q3","62.7"
"1988 Q4","69.2"
"1989 Q1","61.5"
"1989 Q2","64.7"
"1989 Q3","64.3"
"1989 Q4","70.2"
"1990 Q1","62.4"
"1990 Q2","65.2"
"1990 Q3","65.2"
"1990 Q4","70.2"
"1991 Q1","64.1"
"1991 Q2","65.6"
"1991 Q3","66.3"
"1991 Q4","69.7"
"1992 Q1","65.0"
"1992 Q2","67.6"
"1992 Q3","66.4"
"1992 Q4","71.8"
"1993 Q1","66.5"
"1993 Q2","68.6"
"1993 Q3","67.6"
"1993 Q4","73.1"
"1994 Q1","68.0"
"1994 Q2","69.9"
"1994 Q3","70.3"
"1994 Q4","75.9"
"1995 Q1","69.0"
"1995 Q2","72.2"
"1995 Q3","71.4"
"1995 Q4","77.0"
"1996 Q1","71.0"
"1996 Q2","73.0"
"1996 Q3","72.9"
"1996 Q4","78.4"
"1997 Q1","73.6"
"1997 Q2","75.6"
"1997 Q3","75.7"
"1997 Q4","81.1"
"1998 Q1","75.8"
"1998 Q2","78.6"
"1998 Q3","77.2"
"1998 Q4","82.3"
"1999 Q1","77.0"
"1999 Q2","78.6"
"1999 Q3","78.7"
"1999 Q4","85.1"
"2000 Q1","78.3"
"2000 Q2","81.1"
"2000 Q3","79.9"
"2000 Q4","87.1"
"2001 Q1","83.4"
"2001 Q2","89.4"
"2001 Q3","88.5"
"2001 Q4","97.3"
"2002 Q1","88.8"
"2002 Q2","92.6"
"2002 Q3","92.1"
"2002 Q4","100.0"
"2003 Q1","91.1"
"2003 Q2","95.5"
"2003 Q3","94.5"
"2003 Q4","101.5"
"2004 Q1","93.8"
"2004 Q2","98.1"
"2004 Q3","97.4"
"2004 Q4","104.9"
"2005 Q1","95.7"
"2005 Q2","99.0"
"2005 Q3","97.9"
"2005 Q4","106.7"
"2006 Q1","95.6"
"2006 Q2","100.7"
"2006 Q3","99.5"
"2006 Q4","107.9"
"2007 Q1","97.2"
"2007 Q2","101.2"
"2007 Q3","100.2"
"2007 Q4","107.5"
"2008 Q1","98.2"
"2008 Q2","100.1"
"2008 Q3","97.2"
"2008 Q4","105.2"
"2009 Q1","96.6"
"2009 Q2","101.6"
"2009 Q3","99.8"
"2009 Q4","107.0"
"2010 Q1","96.2"
"2010 Q2","99.5"
"2010 Q3","96.7"
"2010 Q4","103.9"
"2011 Q1","92.7"
"2011 Q2","97.4"
"2011 Q3","95.3"
"2011 Q4","104.4"
"2012 Q1","92.5"
"2012 Q2","96.8"
"2012 Q3","95.7"
"2012 Q4","102.7"
"2013 Q1","92.1"
"2013 Q2","94.9"
"2013 Q3","95.7"
"2013 Q4","103.0"
"2014 Q1","91.5"
"2014 Q2","97.5"
"2014 Q3","95.2"
"2014 Q4","104.0"
"2015 Q1","94.9"
"2015 Q2","97.9"
"2015 Q3","97.4"
"2015 Q4","106.4"
"2016 Q1","97.7"
"2016 Q2","101.5"
"2016 Q3","101.3"
"2016 Q4","110.1"
"2017 Q1","97.2"
"2017 Q2","102.4"
"2017 Q3","100.3"
"2017 Q4","109.3"
"2018 Q1","97.8"
"2018 Q2","102.8"
"2018 Q3","102.5"
"2018 Q4","110.2"
"2019 Q1","99.0"
"2019 Q2","104.9"
"2019 Q3","103.6"
"2019 Q4","111.0"
"2020 Q1","103.9"
"2020 Q2","111.2"
"2020 Q3","107.0"
"2020 Q4","115.5"
"2021 Q1","109.6"
"2021 Q2","109.7"
"2021 Q3","106.5"
"2021 Q4","113.8"
"2022 Q1","100.3"
"2022 Q2","104.0"
"2022 Q3","101.4"
"2022 Q4","107.5"
"2023 Q1","96.6"
"2023 Q2","101.0"
"2023 Q3","97.7"
"2023 Q4","104.7"
"2024 Q1","96.3"
"2024 Q2","97.5"
"2024 Q3","97.5"
"2024 Q4","102.6"
"2025 Q1","94.9"
"2025 Q2","99.6"
"2025 Q3","97.6"
"2025 Q4","103.3"
"2026 Q1","96.9"
"2026 Q2","99.0"
"1988 JAN","60.0"
"1988 FEB","61.1"
"1988 MAR","62.8"
"1988 APR","62.9"
"1988 MAY","63.0"
"1988 JUN","62.6"
"1988 JUL","63.5"
"1988 AUG","63.7"
"1988 SEP","61.2"
"1988 OCT","63.3"
"1988 NOV","65.6"
"1988 DEC","76.8"
"1989 JAN","58.3"
"1989 FEB","62.3"
"1989 MAR","63.5"
"1989 APR","64.7"
"1989 MAY","65.0"
"1989 JUN","64.4"
"1989 JUL","65.6"
"1989 AUG","65.1"
"1989 SEP","62.8"
"1989 OCT","64.3"
"1989 NOV","66.3"
"1989 DEC","78.0"
"1990 JAN","59.4"
"1990 FEB","63.2"
"1990 MAR","64.1"
"1990 APR","65.4"
"1990 MAY","66.2"
"1990 JUN","64.2"
"1990 JUL","66.8"
"1990 AUG","65.3"
"1990 SEP","63.9"
"1990 OCT","64.8"
"1990 NOV","66.5"
"1990 DEC","77.5"
"1991 JAN","61.7"
"1991 FEB","64.4"
"1991 MAR","66.2"
"1991 APR","65.9"
"1991 MAY","65.0"
"1991 JUN","65.9"
"1991 JUL","67.7"
"1991 AUG","66.1"
"1991 SEP","65.3"
"1991 OCT","65.4"
"1991 NOV","67.0"
"1991 DEC","75.3"
"1992 JAN","63.7"
"1992 FEB","65.2"
"1992 MAR","65.9"
"1992 APR","68.3"
"1992 MAY","67.0"
"1992 JUN","67.5"
"1992 JUL","67.2"
"1992 AUG","66.5"
"1992 SEP","65.6"
"1992 OCT","67.4"
"1992 NOV","69.4"
"1992 DEC","77.2"
"1993 JAN","65.4"
"1993 FEB","66.4"
"1993 MAR","67.3"
"1993 APR","69.1"
"1993 MAY","68.3"
"1993 JUN","68.4"
"1993 JUL","68.4"
"1993 AUG","68.0"
"1993 SEP","66.6"
"1993 OCT","68.1"
"1993 NOV","70.6"
"1993 DEC","79.1"
"1994 JAN","65.9"
"1994 FEB","67.7"
"1994 MAR","70.0"
"1994 APR","69.1"
"1994 MAY","70.1"
"1994 JUN","70.4"
"1994 JUL","71.9"
"1994 AUG","70.5"
